strategy,m,kc_noon_mean,kc_noon_std,kc_dawn_mean,kc_dawn_std,peak_valley_ratio,improvement_pct
baseline,4,6.634451142857143,0.7709093435749385,0.29401099999999997,5.99588961666477e-17,22.565316069321025,0.0
random,4,6.412132000000001,0.7322848439305114,0.29401099999999997,5.99588961666477e-17,21.809156800255778,-3.3509801801238437
max_power,4,3.3458841428571433,0.3750771701949829,0.29401099999999997,5.99588961666477e-17,11.380132521766681,-49.568034027058495
score,4,3.3392008571428575,0.3804934917684438,0.29401099999999997,5.99588961666477e-17,11.357401107927451,-49.66877010258874
pcc_direct,4,3.330710142857143,0.3797255502076153,0.29401099999999997,5.99588961666477e-17,11.32852220786686,-49.79674925418527
