day,hour,kappa_c_mean,kappa_c_std
0,0,0.294011,0.002837
0,3,0.294011,0.002837
0,6,0.294011,0.002837
0,9,2.184735,0.241129
0,12,3.253599,0.349002
0,15,2.854195,0.344983
0,18,0.294011,0.002837
0,21,0.869712,0.083285
1,0,0.294011,0.002837
1,3,0.294011,0.002837
1,6,0.294011,0.002837
1,9,2.420180,0.332138
1,12,3.805421,0.376482
1,15,3.053751,0.313371
1,18,0.305657,0.081212
1,21,0.857690,0.115111
2,0,0.294011,0.002837
2,3,0.294011,0.002837
2,6,0.294011,0.002837
2,9,2.490447,0.306946
2,12,3.511737,0.332976
2,15,3.101078,0.317466
2,18,0.305657,0.081212
2,21,0.810707,0.190810
3,0,0.294011,0.002837
3,3,0.294011,0.002837
3,6,0.294011,0.002837
3,9,2.254823,0.296812
3,12,3.605904,0.382986
3,15,2.701899,0.316265
3,18,0.294011,0.002837
3,21,0.811234,0.191812
4,0,0.294011,0.002837
4,3,0.294011,0.002837
4,6,0.294011,0.002837
4,9,1.938391,0.263007
4,12,3.218694,0.342737
4,15,2.666611,0.309471
4,18,0.294011,0.002837
4,21,0.705240,0.269456
5,0,0.294011,0.002837
5,3,0.294011,0.002837
5,6,0.294011,0.002837
5,9,1.351104,0.287144
5,12,3.394609,0.331282
5,15,2.666572,0.309210
5,18,0.294011,0.002837
5,21,0.669816,0.281895
6,0,0.294011,0.002837
6,3,0.294011,0.002837
6,6,0.294011,0.002837
6,9,1.316371,0.284840
6,12,2.631225,0.298528
6,15,1.950716,0.283832
6,18,0.294011,0.002837
6,21,0.751767,0.242843
