day,hour,kappa_c_mean,kappa_c_std
0,0,0.294011,0.002837
0,3,0.294011,0.002837
0,6,0.294011,0.002837
0,9,2.149493,0.212748
0,12,3.277172,0.347626
0,15,2.819383,0.338451
0,18,0.294011,0.002837
0,21,0.858013,0.115989
1,0,0.294011,0.002837
1,3,0.294011,0.002837
1,6,0.294011,0.002837
1,9,2.372907,0.315443
1,12,3.782182,0.395653
1,15,3.030343,0.321952
1,18,0.305657,0.081212
1,21,0.833882,0.158630
2,0,0.294011,0.002837
2,3,0.294011,0.002837
2,6,0.294011,0.002837
2,9,2.514051,0.318162
2,12,3.523820,0.336777
2,15,3.054207,0.338525
2,18,0.317461,0.114816
2,21,0.787426,0.215632
3,0,0.294011,0.002837
3,3,0.294011,0.002837
3,6,0.294011,0.002837
3,9,2.243507,0.296381
3,12,3.594260,0.403691
3,15,2.666450,0.285177
3,18,0.294011,0.002837
3,21,0.787196,0.215218
4,0,0.294011,0.002837
4,3,0.294011,0.002837
4,6,0.294011,0.002837
4,9,1.903072,0.282954
4,12,3.171326,0.335162
4,15,2.643115,0.287226
4,18,0.294011,0.002837
4,21,0.705156,0.269315
5,0,0.294011,0.002837
5,3,0.294011,0.002837
5,6,0.294011,0.002837
5,9,1.362938,0.303634
5,12,3.417919,0.376204
5,15,2.678270,0.318618
5,18,0.294011,0.002837
5,21,0.705660,0.270192
6,0,0.294011,0.002837
6,3,0.294011,0.002837
6,6,0.294011,0.002837
6,9,1.304450,0.289733
6,12,2.607727,0.272556
6,15,1.950416,0.282158
6,18,0.294011,0.002837
6,21,0.751767,0.242843
