day,hour,kappa_c_mean,kappa_c_std
0,0,0.294011,0.002837
0,3,0.294011,0.002837
0,6,0.294011,0.002837
0,9,2.172972,0.232482
0,12,3.230226,0.351379
0,15,2.877691,0.329959
0,18,0.294011,0.002837
0,21,0.869431,0.082258
1,0,0.294011,0.002837
1,3,0.294011,0.002837
1,6,0.294011,0.002837
1,9,2.408468,0.313246
1,12,3.758702,0.355920
1,15,3.006452,0.363688
1,18,0.305657,0.081212
1,21,0.857690,0.115111
2,0,0.294011,0.002837
2,3,0.294011,0.002837
2,6,0.294011,0.002837
2,9,2.525547,0.310083
2,12,3.499907,0.351304
2,15,3.136121,0.337733
2,18,0.317461,0.114816
2,21,0.799061,0.203922
3,0,0.294011,0.002837
3,3,0.294011,0.002837
3,6,0.294011,0.002837
3,9,2.266771,0.301945
3,12,3.605526,0.396757
3,15,2.713420,0.301257
3,18,0.294011,0.002837
3,21,0.810933,0.191250
4,0,0.294011,0.002837
4,3,0.294011,0.002837
4,6,0.294011,0.002837
4,9,1.879804,0.294728
4,12,3.194962,0.339976
4,15,2.643076,0.287880
4,18,0.294011,0.002837
4,21,0.705028,0.269093
5,0,0.294011,0.002837
5,3,0.294011,0.002837
5,6,0.294011,0.002837
5,9,1.350756,0.285934
5,12,3.429473,0.339297
5,15,2.666609,0.330829
5,18,0.294011,0.002837
5,21,0.705372,0.269693
6,0,0.294011,0.002837
6,3,0.294011,0.002837
6,6,0.294011,0.002837
6,9,1.293026,0.271977
6,12,2.596175,0.284663
6,15,1.938951,0.266369
6,18,0.294011,0.002837
6,21,0.775287,0.225241
