timestep,m,strategy,alpha_star_mean,alpha_star_std,alpha_c_mean,alpha_c_std,rho_mean,rho_std,bisection_converged_frac,pcc_isolation_frac_at_low_alpha,S_mean_at_alpha_star
00:00,0,pcc_direct,0.811659282611491,0.1890313684608795,0.17025390624999998,0.0,0.17025390624999998,0.0,0.1,1.0,0.09607843137254903
00:00,4,pcc_direct,0.44601039327290143,0.11553638007043092,0.24759765624999996,0.0,0.24759765624999996,0.0,0.1,1.0,0.19150943396226414
00:00,8,pcc_direct,0.3185185984302795,0.08016032889509,0.33607421875000004,0.0,0.33607421875000004,0.0,0.1,1.0,0.17454545454545456
00:00,4,random,0.7494393915537642,0.15589730766522722,0.14974609375000003,0.0,0.14974609375000003,0.0,0.1,1.0,0.09622641509433963
06:00,0,pcc_direct,0.21990722802479698,0.08747694882966306,0.5201236979166667,0.18206340340281302,0.5201236979166667,0.18206340340281302,0.9,1.0,0.8892156862745099
06:00,4,pcc_direct,0.16613602954281043,0.06514634890108792,0.6388364955357142,0.1957509149954608,0.6388364955357142,0.1957509149954608,0.7,1.0,0.7471698113207547
06:00,8,pcc_direct,0.14587947393328332,0.060640515795923104,0.7524560546874999,0.2006949138929192,0.7524560546874999,0.2006949138929192,0.8,1.0,0.7545454545454546
06:00,4,random,0.21298128621467843,0.08555418893300785,0.4980440848214286,0.24429806785610697,0.4980440848214286,0.24429806785610697,0.7,1.0,0.880188679245283
09:00,0,pcc_direct,4.525161816445683,0.5823205076769596,0.1855615234375,0.0365148115936688,0.1855615234375,0.0365148115936688,0.8,1.0,0.9607843137254901
09:00,4,pcc_direct,2.4322271699963958,0.26777509323937104,0.29382161458333333,0.03141368805301305,0.29382161458333333,0.03141368805301305,0.9,1.0,0.8773584905660379
09:00,8,pcc_direct,1.7589055397142501,0.2651429703511202,0.4094466145833333,0.09111397322627848,0.4094466145833333,0.09111397322627848,0.9,1.0,0.7718181818181818
09:00,4,random,4.255732510748526,0.633200230303803,0.15900390625,0.024355272966835394,0.15900390625,0.024355272966835394,1.0,1.0,0.9528301886792452
12:00,0,pcc_direct,6.495931890739375,0.8256077014191346,0.20026692708333332,0.047552700143179215,0.20026692708333332,0.047552700143179215,0.9,1.0,0.8617647058823529
12:00,4,pcc_direct,3.482216154279231,0.3738887725323166,0.28685546875,0.08532809495742005,0.28685546875,0.08532809495742005,0.9,1.0,0.7641509433962265
12:00,8,pcc_direct,2.456681232898918,0.35147142544968546,0.36804966517857146,0.06244318657025242,0.36804966517857146,0.06244318657025242,0.7,1.0,0.7154545454545455
12:00,4,random,6.119678668536247,0.9183735711670337,0.15534505208333335,0.02948262871676043,0.15534505208333335,0.02948262871676043,0.9,1.0,0.8632075471698112
18:00,0,pcc_direct,0.5305804645859118,0.22148568483554174,0.274111328125,0.10373359044843188,0.274111328125,0.10373359044843188,0.8,1.0,0.9490196078431372
18:00,4,pcc_direct,0.3004038819673574,0.09560581106445912,0.56224609375,0.2106915884286088,0.56224609375,0.2106915884286088,0.9,1.0,0.7867924528301887
18:00,8,pcc_direct,0.23435690735144585,0.06641028649005394,0.68802734375,0.17030858026596032,0.68802734375,0.17030858026596032,0.6,1.0,0.6927272727272727
18:00,4,random,0.5100482035094085,0.22054357014590786,0.36001395089285715,0.21158439417376756,0.36001395089285715,0.21158439417376756,0.7,1.0,0.9575471698113207
