day,hour,kappa_c_mean,kappa_c_std
0,0,0.650794,0.126439
0,3,0.407638,0.063078
0,6,0.496887,0.249160
0,9,0.782786,0.203027
0,12,0.864315,0.047737
0,15,0.833874,0.076759
0,18,0.362901,0.192859
0,21,0.857207,0.053706
1,0,0.640735,0.129235
1,3,0.410311,0.068291
1,6,0.450147,0.233313
1,9,0.864315,0.047737
1,12,0.864315,0.047737
1,15,0.864315,0.047737
1,18,0.314446,0.152902
1,21,0.859339,0.051690
2,0,0.646168,0.123849
2,3,0.406387,0.061325
2,6,0.542308,0.299946
