day,hour,kappa_c_mean,kappa_c_std
0,0,0.819872,0.176164
0,3,0.351759,0.176900
0,6,0.292955,0.001732
0,9,4.272721,0.445650
0,12,6.143956,0.636796
0,15,5.325485,0.538717
0,18,0.351704,0.176642
0,21,1.404782,0.175870
1,0,0.819872,0.176164
1,3,0.351759,0.176900
1,6,0.292955,0.001732
1,9,4.681485,0.392057
1,12,7.197608,0.729300
1,15,5.676333,0.573560
1,18,0.526689,0.285944
1,21,1.463278,0.008652
2,0,0.878116,0.005192
2,3,0.410241,0.234898
2,6,0.292955,0.001732
2,9,4.739981,0.387449
2,12,6.846670,0.573938
2,15,5.793154,0.534284
2,18,0.761446,0.234750
2,21,1.346094,0.233578
3,0,0.819872,0.176164
3,3,0.351759,0.176900
3,6,0.292955,0.001732
3,9,4.331484,0.560823
3,12,6.905152,0.526922
3,15,5.207993,0.534422
3,18,0.526689,0.285944
3,21,1.346607,0.235748
4,0,0.878116,0.005192
4,3,0.351759,0.176900
4,6,0.292955,0.001732
4,9,3.569658,0.387624
4,12,6.203421,0.557312
4,15,4.974179,0.453265
4,18,0.292955,0.001732
4,21,1.170448,0.291661
5,0,0.878116,0.005192
5,3,0.351759,0.176900
5,6,0.292955,0.001732
5,9,2.574982,0.409276
5,12,6.671685,0.559624
5,15,5.033452,0.495117
5,18,0.292955,0.001732
5,21,1.229675,0.288571
6,0,0.878116,0.005192
6,3,0.351759,0.176900
6,6,0.292955,0.001732
6,9,2.340840,0.392403
6,12,5.031958,0.606011
6,15,3.627902,0.453887
6,18,0.292955,0.001732
6,21,1.286866,0.264843
