day,hour,kappa_c_mean,kappa_c_std
0,0,0.819872,0.176164
0,3,0.351759,0.176900
0,6,0.292955,0.001732
0,9,4.272529,0.358061
0,12,6.260763,0.566593
0,15,5.383517,0.641399
0,18,0.351704,0.176642
0,21,1.463278,0.008652
1,0,0.819872,0.176164
1,3,0.351759,0.176900
1,6,0.292955,0.001732
1,9,4.623311,0.470287
1,12,7.139364,0.696319
1,15,5.793462,0.537025
1,18,0.526689,0.285944
1,21,1.463278,0.008652
2,0,0.878116,0.005192
2,3,0.410241,0.234898
2,6,0.292955,0.001732
2,9,4.916140,0.491011
2,12,6.729184,0.581395
2,15,5.734980,0.643876
2,18,0.761446,0.234750
2,21,1.287919,0.269029
3,0,0.878116,0.005192
3,3,0.351759,0.176900
3,6,0.292955,0.001732
3,9,4.272735,0.445771
3,12,7.081932,0.611692
3,15,5.091172,0.573473
3,18,0.526689,0.285944
3,21,1.346538,0.235457
4,0,0.878116,0.005192
4,3,0.351759,0.176900
4,6,0.292955,0.001732
4,9,3.570390,0.394165
4,12,6.145211,0.593543
4,15,5.091424,0.512993
4,18,0.292955,0.001732
4,21,1.170448,0.291661
5,0,0.878116,0.005192
5,3,0.351759,0.176900
5,6,0.292955,0.001732
5,9,2.515755,0.433984
5,12,6.671145,0.612590
5,15,5.033008,0.490171
5,18,0.292955,0.001732
5,21,1.229675,0.288571
6,0,0.878116,0.005192
6,3,0.351759,0.176900
6,6,0.292955,0.001732
6,9,2.340840,0.392403
6,12,4.973714,0.582537
6,15,3.569407,0.465157
6,18,0.292955,0.001732
6,21,1.286866,0.264843
