day,hour,kappa_c_mean,kappa_c_std
0,0,0.409762,0.233339
0,3,0.292955,0.001732
0,6,0.292955,0.001732
0,9,3.394442,0.270645
0,12,4.974465,0.456677
0,15,4.330330,0.407336
0,18,0.292955,0.001732
0,21,0.936598,0.175352
1,0,0.409762,0.233339
1,3,0.292955,0.001732
1,6,0.292955,0.001732
1,9,3.569658,0.387624
1,12,5.793633,0.471140
1,15,4.623311,0.470287
1,18,0.468001,0.266854
1,21,0.878116,0.005192
2,0,0.351437,0.175398
2,3,0.292955,0.001732
2,6,0.292955,0.001732
2,9,3.979401,0.373571
2,12,5.383467,0.371312
2,15,4.564896,0.529449
2,18,0.643737,0.286115
2,21,0.936865,0.177481
3,0,0.409762,0.233339
3,3,0.292955,0.001732
3,6,0.292955,0.001732
3,9,3.569658,0.387624
3,12,5.559662,0.525787
3,15,4.096474,0.471855
3,18,0.292955,0.001732
3,21,0.936598,0.175352
4,0,0.351437,0.175398
4,3,0.292955,0.001732
4,6,0.292955,0.001732
4,9,2.867253,0.282860
4,12,4.916221,0.417081
4,15,3.979905,0.461337
4,18,0.292955,0.001732
4,21,0.878116,0.005192
5,0,0.527793,0.288428
5,3,0.292955,0.001732
5,6,0.292955,0.001732
5,9,2.048625,0.370907
5,12,5.325142,0.387408
5,15,3.979345,0.526566
5,18,0.292955,0.001732
5,21,0.878116,0.005192
6,0,0.527793,0.288428
6,3,0.292955,0.001732
6,6,0.292955,0.001732
6,9,1.814175,0.388117
6,12,4.096645,0.473330
6,15,2.926001,0.392271
6,18,0.292955,0.001732
6,21,0.878116,0.005192
