day,hour,kappa_c_mean,kappa_c_std
0,0,0.819872,0.176164
0,3,0.351759,0.176900
0,6,0.292955,0.001732
0,9,4.272735,0.445771
0,12,6.203183,0.613059
0,15,5.266797,0.472183
0,18,0.351704,0.176642
0,21,1.463278,0.008652
1,0,0.819872,0.176164
1,3,0.351759,0.176900
1,6,0.292955,0.001732
1,9,4.564507,0.526592
1,12,7.197689,0.682003
1,15,5.734658,0.586369
1,18,0.526689,0.285944
1,21,1.463278,0.008652
2,0,0.878116,0.005192
2,3,0.351759,0.176900
2,6,0.292955,0.001732
2,9,4.856913,0.508544
2,12,6.846670,0.573938
2,15,5.735288,0.646180
2,18,0.761446,0.234750
2,21,1.346607,0.235748
3,0,0.878116,0.005192
3,3,0.351759,0.176900
3,6,0.292955,0.001732
3,9,4.272735,0.445771
3,12,6.963476,0.534074
3,15,5.149749,0.527459
3,18,0.526689,0.285944
3,21,1.404782,0.175870
4,0,0.878116,0.005192
4,3,0.351759,0.176900
4,6,0.292955,0.001732
4,9,3.511163,0.392169
4,12,6.028219,0.449164
4,15,5.032928,0.554860
4,18,0.292955,0.001732
4,21,1.170448,0.291661
5,0,0.878116,0.005192
5,3,0.351759,0.176900
5,6,0.292955,0.001732
5,9,2.516807,0.439242
5,12,6.671685,0.559624
5,15,5.090980,0.508271
5,18,0.292955,0.001732
5,21,1.229675,0.288571
6,0,0.878116,0.005192
6,3,0.351759,0.176900
6,6,0.292955,0.001732
6,9,2.282092,0.283525
6,12,5.032942,0.554966
6,15,3.569809,0.467939
6,18,0.292955,0.001732
6,21,1.286866,0.264843
