day,hour,kappa_c_mean,kappa_c_std
0,0,0.409762,0.233339
0,3,0.292955,0.001732
0,6,0.292955,0.001732
0,9,3.394442,0.270645
0,12,5.091186,0.573575
0,15,4.271309,0.504697
0,18,0.292955,0.001732
0,21,0.936598,0.175352
1,0,0.468566,0.268328
1,3,0.292955,0.001732
1,6,0.292955,0.001732
1,9,3.628886,0.380647
1,12,5.734829,0.526711
1,15,4.564507,0.526592
1,18,0.468001,0.266854
1,21,0.878116,0.005192
2,0,0.351437,0.175398
2,3,0.292955,0.001732
2,6,0.292955,0.001732
2,9,3.979603,0.271201
2,12,5.324971,0.385113
2,15,4.681636,0.472006
2,18,0.643737,0.286115
2,21,0.878116,0.005192
3,0,0.409762,0.233339
3,3,0.292955,0.001732
3,6,0.292955,0.001732
3,9,3.510910,0.288072
3,12,5.676585,0.513375
3,15,4.096474,0.471855
3,18,0.292955,0.001732
3,21,0.936598,0.175352
4,0,0.351437,0.175398
4,3,0.292955,0.001732
4,6,0.292955,0.001732
4,9,2.867253,0.282860
4,12,4.857896,0.446878
4,15,3.862353,0.409205
4,18,0.292955,0.001732
4,21,0.878116,0.005192
5,0,0.527793,0.288428
5,3,0.292955,0.001732
5,6,0.292955,0.001732
5,9,1.989821,0.409304
5,12,5.208472,0.470701
5,15,4.038149,0.469898
5,18,0.292955,0.001732
5,21,0.878116,0.005192
6,0,0.527793,0.288428
6,3,0.292955,0.001732
6,6,0.292955,0.001732
6,9,1.814175,0.388117
6,12,4.096324,0.392098
6,15,2.926001,0.392271
6,18,0.292955,0.001732
6,21,0.936865,0.177481
