sigma_ratio,kappa_c_mean_gen,kappa_c_std_gen,kappa_c_mean_con,kappa_c_std_con
0.2,0.24982328124999997,0.11443573626855881,0.2474803125,0.11101222308783092
0,0.235296875,0.09182524673258438,0.24091999999999994,0.09260626590444958
0.1,0.235296875,0.10436078327579523,0.23904562499999998,0.11548340620111834
0.2,0.29902562499999996,0.16706139396379102,0.29152812499999997,0.163404224145981
0.3,0.26341249999999994,0.13286925996685847,0.25591499999999995,0.12752639222707243
0.3,0.27231578125,0.12179742258125383,0.265286875,0.12102425855904105
0.4,0.27091,0.13105889493283399,0.26341249999999994,0.12038391407317725
0.5,0.24466875,0.09784524756319604,0.23342249999999992,0.10518233637986998
0.6,0.23904562499999998,0.08161606453771829,0.24654312499999997,0.08719370086372351
0.7,0.27465874999999995,0.12998219651077458,0.276533125,0.11878273893436704
0.4,0.26153812499999995,0.12544316828093657,0.25825796875,0.1198345489662816
0.8,0.28590499999999996,0.1232107542755121,0.269035625,0.11818971107133223
0.5,0.25076046874999997,0.115459636259816,0.25825796874999996,0.12450757269803017
0.6,0.27606453124999997,0.12168198672897941,0.2784075,0.12844598313834105
0.7,0.25497781249999996,0.11690075817385055,0.25825796874999996,0.12165311065085951
0.8,0.2606009375,0.11656970046082876,0.2606009375,0.10507790384316873
