day,hour,kappa_c_mean,kappa_c_std
0,0,0.869633,0.083007
0,3,0.634173,0.289082
0,6,0.340749,0.158087
0,9,4.357501,0.519387
0,12,6.518565,0.729079
0,15,5.684250,0.632094
0,18,0.529237,0.288475
0,21,1.468552,0.014169
1,0,0.857816,0.115457
1,3,0.646214,0.287488
1,6,0.329091,0.138568
1,9,4.827115,0.558238
1,12,7.575266,0.805596
1,15,6.072477,0.675753
1,18,0.763530,0.261844
1,21,1.456812,0.083478
2,0,0.881282,0.008503
2,3,0.646126,0.287329
2,6,0.329051,0.138328
2,9,5.073328,0.601986
2,12,7.093175,0.767325
2,15,6.119114,0.636210
2,18,0.881203,0.165898
2,21,1.397939,0.190615
3,0,0.869633,0.083007
3,3,0.646138,0.287352
3,6,0.340789,0.158297
3,9,4.592328,0.564003
3,12,7.164266,0.781886
3,15,5.414525,0.571215
3,18,0.740208,0.250711
3,21,1.398247,0.192120
4,0,0.881282,0.008503
4,3,0.622890,0.291601
4,6,0.329050,0.138312
4,9,3.746867,0.462000
4,12,6.341923,0.688508
4,15,5.273811,0.598723
4,18,0.552533,0.291846
4,21,1.327870,0.252225
5,0,0.881282,0.008503
5,3,0.622608,0.291068
5,6,0.434672,0.250018
5,9,2.713058,0.489265
5,12,6.835228,0.743185
5,15,5.320907,0.610380
5,18,0.493577,0.277997
5,21,1.327862,0.252186
6,0,0.881282,0.008503
6,3,0.634529,0.289749
6,6,0.352580,0.175484
6,9,2.572815,0.401177
6,12,5.273220,0.649096
6,15,3.934983,0.561978
6,18,0.411295,0.234398
6,21,1.386403,0.204550
