day,hour,kappa_c_mean,kappa_c_std
0,0,0.834484,0.159925
0,3,0.399141,0.223661
0,6,0.294011,0.002837
0,9,4.334175,0.431536
0,12,6.518683,0.690999
0,15,5.684890,0.592879
0,18,0.411755,0.235901
0,21,1.456686,0.082102
1,0,0.822954,0.177160
1,3,0.410880,0.233033
1,6,0.294011,0.002837
1,9,4.792055,0.515595
1,12,7.516645,0.709672
1,15,5.989755,0.639669
1,18,0.634742,0.312654
1,21,1.421453,0.159201
2,0,0.857971,0.115876
2,3,0.445991,0.255618
2,6,0.294011,0.002837
2,9,5.062079,0.554198
2,12,7.070098,0.579915
2,15,6.119190,0.625309
2,18,0.799000,0.262749
2,21,1.397939,0.190615
3,0,0.857892,0.115668
3,3,0.446146,0.256062
3,6,0.294011,0.002837
3,9,4.545709,0.462158
3,12,7.164144,0.657464
3,15,5.426358,0.492131
3,18,0.517191,0.285150
3,21,1.374697,0.216176
4,0,0.881282,0.008503
4,3,0.434133,0.248412
4,6,0.294011,0.002837
4,9,3.699938,0.437608
4,12,6.306787,0.608559
4,15,5.238147,0.582127
4,18,0.364498,0.190933
4,21,1.304062,0.263774
5,0,0.881282,0.008503
5,3,0.434274,0.248829
5,6,0.294011,0.002837
5,9,2.642669,0.451698
5,12,6.800290,0.613181
5,15,5.285737,0.565492
5,18,0.317421,0.114515
5,21,1.268904,0.278573
6,0,0.869712,0.083285
6,3,0.434412,0.249246
6,6,0.294011,0.002837
6,9,2.537320,0.400458
6,12,5.155975,0.616907
6,15,3.852392,0.486090
6,18,0.305657,0.081212
6,21,1.339038,0.242314
