day,hour,kappa_c_mean,kappa_c_std
0,0,0.834484,0.159925
0,3,0.399141,0.223661
0,6,0.294011,0.002837
0,9,4.345843,0.391324
0,12,6.495269,0.631905
0,15,5.673523,0.637333
0,18,0.400057,0.226831
0,21,1.456812,0.083478
1,0,0.822954,0.177160
1,3,0.410880,0.233033
1,6,0.294011,0.002837
1,9,4.803930,0.527567
1,12,7.517132,0.704934
1,15,5.978096,0.574314
1,18,0.623204,0.314556
1,21,1.421209,0.157801
2,0,0.857971,0.115876
2,3,0.434187,0.248571
2,6,0.294011,0.002837
2,9,5.003781,0.490008
2,12,7.093191,0.652190
2,15,6.142810,0.583505
2,18,0.799000,0.262749
2,21,1.397939,0.190615
3,0,0.857892,0.115668
3,3,0.434535,0.249606
3,6,0.294011,0.002837
3,9,4.545827,0.505402
3,12,7.129223,0.645235
3,15,5.449779,0.550835
3,18,0.517191,0.285150
3,21,1.398204,0.191949
4,0,0.881282,0.008503
4,3,0.434305,0.248921
4,6,0.294011,0.002837
4,9,3.699602,0.434975
4,12,6.330694,0.595105
4,15,5.273767,0.538543
4,18,0.364498,0.190933
4,21,1.316235,0.259419
5,0,0.881282,0.008503
5,3,0.434274,0.248829
5,6,0.294011,0.002837
5,9,2.631034,0.459601
5,12,6.812007,0.680835
5,15,5.297533,0.589278
5,18,0.317421,0.114515
5,21,1.304469,0.265392
6,0,0.869712,0.083285
6,3,0.434412,0.249246
6,6,0.294011,0.002837
6,9,2.572888,0.401593
6,12,5.226588,0.571078
6,15,3.888294,0.559375
6,18,0.305657,0.081212
6,21,1.351007,0.234904
