day,hour,kappa_c_mean,kappa_c_std
0,0,0.834484,0.159925
0,3,0.399141,0.223661
0,6,0.294011,0.002837
0,9,4.357676,0.450430
0,12,6.483267,0.711074
0,15,5.696602,0.595985
0,18,0.411755,0.235901
0,21,1.456812,0.083478
1,0,0.846322,0.140364
1,3,0.410880,0.233033
1,6,0.294011,0.002837
1,9,4.839607,0.483302
1,12,7.587677,0.742079
1,15,5.966263,0.587797
1,18,0.634742,0.312654
1,21,1.409614,0.175560
2,0,0.857971,0.115876
2,3,0.434187,0.248571
2,6,0.294011,0.002837
2,9,5.014850,0.543292
2,12,7.070272,0.637935
2,15,6.107866,0.589702
2,18,0.810921,0.253112
2,21,1.386332,0.204203
3,0,0.857892,0.115668
3,3,0.422752,0.241892
3,6,0.294011,0.002837
3,9,4.545601,0.530230
3,12,7.199261,0.639380
3,15,5.403099,0.565200
3,18,0.529001,0.287946
3,21,1.375031,0.217696
4,0,0.881282,0.008503
4,3,0.422522,0.241174
4,6,0.294011,0.002837
4,9,3.735096,0.437217
4,12,6.342621,0.622369
4,15,5.226757,0.572487
4,18,0.364498,0.190933
4,21,1.316031,0.258607
5,0,0.881282,0.008503
5,3,0.422491,0.241078
5,6,0.294011,0.002837
5,9,2.665984,0.465492
5,12,6.906153,0.657583
5,15,5.285973,0.591366
5,18,0.317421,0.114515
5,21,1.292782,0.271026
6,0,0.869712,0.083285
6,3,0.434378,0.249143
6,6,0.294011,0.002837
6,9,2.549356,0.396917
6,12,5.203071,0.591971
6,15,3.841198,0.511392
6,18,0.305657,0.081212
6,21,1.350905,0.234453
