day,hour,kappa_c_mean,kappa_c_std
0,0,0.822849,0.176956
0,3,0.387515,0.213648
0,6,0.294011,0.002837
0,9,4.369304,0.426780
0,12,6.483394,0.620035
0,15,5.684716,0.579748
0,18,0.400057,0.226831
0,21,1.456907,0.084478
1,0,0.822954,0.177160
1,3,0.422491,0.241078
1,6,0.294011,0.002837
1,9,4.792151,0.517277
1,12,7.552150,0.763972
1,15,6.013346,0.677043
1,18,0.634742,0.312654
1,21,1.433122,0.138895
2,0,0.857971,0.115876
2,3,0.422562,0.241296
2,6,0.294011,0.002837
2,9,5.061988,0.473459
2,12,7.058323,0.603226
2,15,6.107743,0.599863
2,18,0.787196,0.244713
2,21,1.398031,0.191068
3,0,0.857892,0.115668
3,3,0.434363,0.249098
3,6,0.294011,0.002837
3,9,4.498736,0.474203
3,12,7.176315,0.660890
3,15,5.403034,0.564687
3,18,0.529050,0.288057
3,21,1.386666,0.205772
4,0,0.881282,0.008503
4,3,0.410678,0.232371
4,6,0.294011,0.002837
4,9,3.747184,0.417765
4,12,6.377177,0.632056
4,15,5.238576,0.497423
4,18,0.364498,0.190933
4,21,1.292717,0.270780
5,0,0.881282,0.008503
5,3,0.422648,0.241565
5,6,0.294011,0.002837
5,9,2.677778,0.441792
5,12,6.800401,0.636803
5,15,5.250792,0.590573
5,18,0.317421,0.114515
5,21,1.280764,0.274780
6,0,0.869712,0.083285
6,3,0.422491,0.241078
6,6,0.294011,0.002837
6,9,2.525826,0.372304
6,12,5.226812,0.548861
6,15,3.852859,0.503383
6,18,0.305657,0.081212
6,21,1.327468,0.250572
