day,hour,kappa_c_mean,kappa_c_std
0,0,0.846322,0.140364
0,3,0.410891,0.233069
0,6,0.294011,0.002837
0,9,4.298959,0.433104
0,12,6.447981,0.640584
0,15,5.602646,0.560472
0,18,0.411795,0.236028
0,21,1.445002,0.115474
1,0,0.834771,0.160528
1,3,0.422767,0.241938
1,6,0.294011,0.002837
1,9,4.780534,0.478962
1,12,7.528726,0.760919
1,15,6.037189,0.643564
1,18,0.623204,0.314556
1,21,1.444960,0.115148
2,0,0.857971,0.115876
2,3,0.446074,0.255858
2,6,0.294011,0.002837
2,9,5.026744,0.525777
2,12,7.022976,0.590108
2,15,6.060819,0.558539
2,18,0.799117,0.234935
2,21,1.386332,0.204203
3,0,0.869541,0.082673
3,3,0.434639,0.249918
3,6,0.294011,0.002837
3,9,4.545681,0.504415
3,12,7.152854,0.654392
3,15,5.391007,0.513315
3,18,0.529050,0.288057
3,21,1.374697,0.216176
4,0,0.881282,0.008503
4,3,0.422646,0.241558
4,6,0.294011,0.002837
4,9,3.711772,0.433411
4,12,6.283427,0.614869
4,15,5.214953,0.493089
4,18,0.376236,0.203831
4,21,1.304684,0.266231
5,0,0.881282,0.008503
5,3,0.457911,0.262262
5,6,0.294011,0.002837
5,9,2.666277,0.451498
5,12,6.812310,0.652979
5,15,5.274155,0.590579
5,18,0.340984,0.159305
5,21,1.257282,0.282726
6,0,0.869712,0.083285
6,3,0.458049,0.262645
6,6,0.294011,0.002837
6,9,2.537726,0.367434
6,12,5.203434,0.534512
6,15,3.840985,0.536415
6,18,0.317403,0.114378
6,21,1.351007,0.234904
